title,author,subject,call_number,shelf,copies,status
1984,George Orwell,dystopian fiction and totalitarianism,PR6029.R8 N4,Fiction A-Z,2,available
The Diary of a Young Girl,Anne Frank,World War II Jewish persecution and survival,DS135.N6,Nonfiction 940-949,1,available
Silent Spring,Rachel Carson,environmental science and pesticide impact,QH545.P4,Science 570-579,1,checked out
Cosmos,Carl Sagan,astronomy and the history of the universe,QB44.2,Science 520-529,3,available
The Hobbit,J.R.R. Tolkien,fantasy adventure and quest narratives,PR6039.O32,Fiction A-Z,2,available
A Brief History of Time,Stephen Hawking,theoretical physics and cosmology,QC173.59,Science 530-539,1,checked out
The Immortal Life of Henrietta Lacks,Rebecca Skloot,medical ethics and cell biology,RC265.6.L24,Nonfiction 610-619,1,available
Sapiens,Yuval Noah Harari,human evolution and civilization history,GN281,Nonfiction 900-909,2,available
The Great Gatsby,F. Scott Fitzgerald,Jazz Age society and the American Dream,PS3511.I9,Fiction A-Z,1,available
Pride and Prejudice,Jane Austen,19th century romance and social class,PR4034.P7,Fiction A-Z,2,checked out
Guns Germs and Steel,Jared Diamond,geography and the origins of inequality,HM206,Nonfiction 300-309,1,available
The Art of War,Sun Tzu,military strategy and ancient philosophy,U101,Nonfiction 350-359,1,available
Educated,Tara Westover,memoir and self-education,CT275.W466,Nonfiction 920-929,1,available
The Da Vinci Code,Dan Brown,mystery thriller and religious symbolism,PS3552.R685,Fiction A-Z,3,available
Thinking Fast and Slow,Daniel Kahneman,cognitive psychology and decision making,BF441,Nonfiction 150-159,1,checked out
Into Thin Air,Jon Krakauer,mountaineering and Mount Everest disaster,GV199.44,Nonfiction 790-799,1,available
The Selfish Gene,Richard Dawkins,evolutionary biology and genetics,QH375,Science 570-579,2,available
Fahrenheit 451,Ray Bradbury,censorship and dystopian society,PS3503.R167,Fiction A-Z,1,available
The Wright Brothers,David McCullough,aviation history and invention,TL540.W7,Nonfiction 620-629,1,available
Freakonomics,Steven Levitt,economics and unconventional analysis,HB74.P8,Nonfiction 330-339,1,checked out
The Catcher in the Rye,J.D. Salinger,teenage alienation and coming of age,PS3537.A426,Fiction A-Z,2,available
A People's History of the United States,Howard Zinn,American history from below,E178,Nonfiction 970-979,1,available
The Omnivore's Dilemma,Michael Pollan,food systems and agriculture,TX357,Nonfiction 640-649,1,available
Dune,Frank Herbert,science fiction and desert ecology,PS3558.E63,Fiction A-Z,2,available
The Second World War,Antony Beevor,World War II Pacific and European theaters,D743,Nonfiction 940-949,1,checked out
